"Category","Item","Retailer","Shelf_Price","Price_per_unit","Unit","Date"
"Lettuce","Morrisons Curly Lettuce","Morrisons",0.67,0.67,"Each",2019-01-14
"Lettuce","Morrisons Romaine Hearts ","Morrisons",1,0.5,"Each",2019-01-14
"Lettuce","Morrisons The Best Sweet Gem Lettuce ","Morrisons",1.25,0.625,"Each",2019-01-14
"Lettuce","Essential Waitrose Little Gem Lettuce ","Ocado",0.95,0.475,"Each",2019-01-14
"Lettuce","Waitrose Duchy Organic Little Gem Lettuce ","Ocado",1.6,0.8,"Each",2019-01-14
"Lettuce","Waitrose Gem Lettuce ","Ocado",1.6,0.6,"Each",2019-01-14
"Lettuce","Essential Waitrose Iceberg Lettuce","Ocado",0.65,0.65,"Each",2019-01-14
"Lettuce","Essential Waitrose Round Lettuce","Ocado",0.68,0.68,"Each",2019-01-14
"Lettuce","Essential Waitrose Romaine Lettuce Hearts ","Ocado",1.1,0.55,"Each",2019-01-14
"Lettuce","Waitrose Little Gem Lettuce Hearts ","Ocado",1.62,0.405,"Each",2019-01-14
"Lettuce","Waitrose Chinese Leaf Lettuce","Ocado",1.3,1.3,"Each",2019-01-14
"Lettuce","Waitrose Duchy Organic Romaine Lettuce","Ocado",1.69,1.69,"Each",2019-01-14
"Lettuce","Waitrose 1 Limited Selection Romaine Hearts ","Ocado",2,1,"Each",2019-01-14
"Lettuce","Waitrose Limited Selection Sweet Cos Lettuce ","Ocado",1.6,0.8,"Each",2019-01-14
"Lettuce","O'live Organic Little Gem ","Ocado",1.59,0.795,"Each",2019-01-14
"Lettuce","O'live Organic Romaine Lettuce","Ocado",1.79,1.79,"Each",2019-01-14
"Lettuce","Sainsbury's Little Gem Lettuce ","Sainsburys",0.9,0.45,"Each",2019-01-14
"Lettuce","Sainsbury's Iceberg Lettuce","Sainsburys",0.65,0.65,"Each",2019-01-14
"Lettuce","Sainsbury's Sweet Gem Lettuce ","Sainsburys",1,0.5,"Each",2019-01-14
"Lettuce","Sainsbury's Organic Little Gem Lettuce ","Sainsburys",1.25,0.5,"Each",2019-01-14
"Lettuce","Sainsbury's Round Lettuce","Sainsburys",0.65,0.65,"Each",2019-01-14
"Lettuce","Sainsbury's Curly Leaf Lettuce","Sainsburys",0.65,0.65,"Each",2019-01-14
"Lettuce","Sainsbury's Chinese Leaf Lettuce","Sainsburys",1.25,1.25,"Each",2019-01-14
"Lettuce","Sainsbury's Romaine Lettuce Hearts ","Sainsburys",1,0.5,"Each",2019-01-14
"Lettuce","Sainsbury's Red Mini Cos Lettuce ","Sainsburys",1,0.5,"Each",2019-01-14
"Lettuce","Sainsbury's Organic Cos Lettuce","Sainsburys",1.25,1.25,"Each",2019-01-14
"Lettuce","Tesco Little Gem Lettuce ","Tesco",0.85,0.245,"Each",2019-01-14
"Lettuce","Tesco Sweet Gem Lettuce ","Tesco",1,0.5,"Each",2019-01-14
"Lettuce","Tesco Iceberg Lettuce","Tesco",0.6,0.6,"Each",2019-01-14
"Lettuce","Tesco Red Gem Lettuce ","Tesco",1,0.5,"Each",2019-01-14
"Lettuce","Tesco Nightingale Farms Round Lettuce","Tesco",0.39,0.39,"Each",2019-01-14
"Lettuce","Tesco Chinese Leaf Lettuce","Tesco",1.25,1.25,"Each",2019-01-14
"Lettuce","Tesco Romaine Lettuce Hearts ","Tesco",1,0.5,"Each",2019-01-14
"Lettuce","Tesco Organic Lettuce","Tesco",1.2,1.2,"Each",2019-01-14
"Grapes","Nature's Fruit Snack Pack White Grapes ","Aldi",0.59,3.47,"Kg",2019-01-14
"Grapes","ASDA Farm Stores Seeded Grapes ","ASDA",1,2.5,"Kg",2019-01-14
"Grapes","ASDA Grower's Selection Black Seedless Grapes ","ASDA",1.2,3,"Kg",2019-01-14
"Grapes","ASDA Grower's Selection Seedless Green Grapes ","ASDA",1.2,3,"Kg",2019-01-14
"Grapes","ASDA Grower's Selection Seedless Red Grapes ","ASDA",1.2,3,"Kg",2019-01-14
"Grapes","ASDA Grapes ","ASDA",0.4,5,"Kg",2019-01-14
"Grapes","Iceland White Seedless Grapes ","Iceland",2,4,"Kg",2019-01-14
"Grapes","Iceland Red Seedless Grapes ","Iceland",2,4,"Kg",2019-01-14
"Grapes","Iceland Luxury Grapes ","Iceland",2,5,"Kg",2019-01-14
"Grapes","Oaklands White Seedless Grapes ","Lidl",1.59,3.18,"Kg",2019-01-14
"Grapes","Oaklands Red Seedless Grapes ","Lidl",1.59,2.6,"Kg",2019-01-14
"Grapes","Oaklands Black Seedless Grapes ","Lidl",1.95,3.9,"Kg",2019-01-14
"Grapes","Oaklands Mixed Seedless Grapes ","Lidl",1.89,3.78,"Kg",2019-01-14
"Grapes","Morrisons Wonky Grapes ","Morrisons",1.25,2.5,"Kg",2019-01-14
"Grapes","Morrisons Black Grapes ","Morrisons",2,5,"Kg",2019-01-14
"Grapes","Morrisons Seedless Red Grapes ","Morrisons",2,5,"Kg",2019-01-14
"Grapes","Morrisons Seedless Green Grapes ","Morrisons",2,5,"Kg",2019-01-14
"Grapes","Morrisons Grape Selection Pack ","Morrisons",2,5,"Kg",2019-01-14
"Grapes","Morrisons The Best Sable Grapes ","Morrisons",2,5,"Kg",2019-01-14
"Grapes","Morrisons Grapes ","Morrisons",0.5,7.14,"Kg",2019-01-14
"Grapes","Morrisons The Best Season's Best Grapes ","Morrisons",2,5,"Kg",2019-01-14
"Grapes","Ocado Grape Selection ","Ocado",2,4,"Kg",2019-01-14
"Grapes","Ocado Green Seedless Grapes ","Ocado",1.99,3.18,"Kg",2019-01-14
"Grapes","Waitrose Seedless Vitoria Grapes ","Ocado",2.5,4.15,"Kg",2019-01-14
"Grapes","Ocado Red Seedless Grapes ","Ocado",1.99,3.98,"Kg",2019-01-14
"Grapes","Essential Waitrose Red Seedless Grapes ","Ocado",2,4,"Kg",2019-01-14
"Grapes","Essential Waitrose Green Seedless Grapes ","Ocado",2,4,"Kg",2019-01-14
"Grapes","Ocado Black Seedless Grapes ","Ocado",2,4,"Kg",2019-01-14
"Grapes","Essential Waitrose Grape Selection ","Ocado",2.3,4.6,"Kg",2019-01-14
"Grapes","Waitrose 1 Sable Grapes ","Ocado",2.99,7.48,"Kg",2019-01-14
"Grapes","Essential Waitrose Black Seedless Grapes ","Ocado",2.5,5,"Kg",2019-01-14
"Grapes","Essential Waitrose Grape Selection ","Ocado",4,5,"Kg",2019-01-14
"Grapes","Ethical Food Company Organic Grapes ","Ocado",3.75,9.38,"Kg",2019-01-14
"Grapes","Ravenhill Seedless Vitoria Grapes ","Ocado",3.99,7.98,"Kg",2019-01-14
"Grapes","Waitrose Duchy Organic Limited Selection Grapes ","Ocado",2.99,7.48,"Kg",2019-01-14
"Grapes","Sainsbury's White Seedless Grapes ","Sainsburys",1.95,3.3,"Kg",2019-01-14
"Grapes","Sainsbury's Red Seedless Grapes ","Sainsburys",2,4,"Kg",2019-01-14
"Grapes","Sainsbury's Black Seedless Grapes ","Sainsburys",2,4,"Kg",2019-01-14
"Grapes","Sainsbury's White & Red Seedless Grapes ","Sainsburys",2.1,4.2,"Kg",2019-01-14
"Grapes","Sainsbury's Taste the Difference Sabel Black Grapes ","Sainsburys",2.5,6.25,"Kg",2019-01-14
"Grapes","Sainsbury's Grapes ","Sainsburys",0.55,6.88,"Kg",2019-01-14
"Grapes","Sainsbury's Seeded Grapes ","Sainsburys",2.5,3.57,"Kg",2019-01-14
"Grapes","Sainsbury's Grapes Mixed Seedless ","Sainsburys",2.95,3.93,"Kg",2019-01-14
"Grapes","Sainsbury's Red Grapes ","Sainsburys",0.95,5.59,"Kg",2019-01-14
"Grapes","Sainsbury's White Grapes ","Sainsburys",0.95,5.59,"Kg",2019-01-14
