"UID","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"525016 Sainsbury's Fat Free Greek Style Natural Yogurt (1Kg)","525016","Sainsbury's Fat Free Greek Style Natural Yogurt (1Kg)","Plain_Yogurt","Sainsbury's Fat Free Greek Style Natural Yogurt","Sainsburys",1.7,NA,1.7,"1Kg","Kg",2019-01-17
"321238 Sainsbury's Fat Free Greek Style Natural Yogurt (500g)","321238","Sainsbury's Fat Free Greek Style Natural Yogurt (500g)","Plain_Yogurt","Sainsbury's Fat Free Greek Style Natural Yogurt","Sainsburys",1,NA,2,"500g","Kg",2019-01-17
"332848 Pakeeza Live Set Natural Yogurt (900g)","332848","Pakeeza Live Set Natural Yogurt (900g)","Plain_Yogurt","Pakeeza Live Set Natural Yogurt","Sainsburys",1.4,NA,1.56,"900g","Kg",2019-01-17
"482318 Sainsbury's Fat Free Greek Style Natural Yogurt (200g)","482318","Sainsbury's Fat Free Greek Style Natural Yogurt (200g)","Plain_Yogurt","Sainsbury's Fat Free Greek Style Natural Yogurt","Sainsburys",0.6,NA,3,"200g","Kg",2019-01-17
"002913 Sainsbury's Organic 2% Fat Natural Yogurt (500g)","002913","Sainsbury's Organic 2% Fat Natural Yogurt (500g)","Plain_Yogurt","Sainsbury's Organic 2% Fat Natural Yogurt","Sainsburys",1.5,NA,3,"500g","Kg",2019-01-17
"002808 Sainsbury's Be Good to Yourself 3% Fat Greek Style Natural Yogurt (500g)","002808","Sainsbury's Be Good to Yourself 3% Fat Greek Style Natural Yogurt (500g)","Plain_Yogurt","Sainsbury's Be Good to Yourself 3% Fat Greek Style Natural Yogurt","Sainsburys",1,NA,2,"500g","Kg",2019-01-17
"002222 Tesco Natural Greek Style Yogurt (500g)","002222","Tesco Natural Greek Style Yogurt (500g)","Plain_Yogurt","Tesco Natural Greek Style Yogurt","Tesco",0.85,NA,1.7,"500g","Kg",2019-01-17
"256061 Tesco Fat Free Greek Yogurt (500g)","256061","Tesco Fat Free Greek Yogurt (500g)","Plain_Yogurt","Tesco Fat Free Greek Yogurt","Tesco",0.85,NA,1.7,"500g","Kg",2019-01-17
"486110 Tesco Greek Style Natural Yoghurt (1Kg)","486110","Tesco Greek Style Natural Yoghurt (1Kg)","Plain_Yogurt","Tesco Greek Style Natural Yoghurt","Tesco",1.55,NA,1.55,"1Kg","Kg",2019-01-17
"002227 Tesco Low Fat Natural Yogurt (500g)","002227","Tesco Low Fat Natural Yogurt (500g)","Plain_Yogurt","Tesco Low Fat Natural Yogurt","Tesco",0.85,NA,1.7,"500g","Kg",2019-01-17
"541721 Tesco Natural Yogurt (500g)","541721","Tesco Natural Yogurt (500g)","Plain_Yogurt","Tesco Natural Yogurt","Tesco",0.85,NA,1.7,"500g","Kg",2019-01-17
"191607 Tesco Finest Greek Yogurt (500g)","191607","Tesco Finest Greek Yogurt (500g)","Plain_Yogurt","Tesco Finest Greek Yogurt","Tesco",1.75,NA,3.5,"500g","Kg",2019-01-17
"541505 Tesco Creamfields Low Fat Natural Yogurt (500g)","541505","Tesco Creamfields Low Fat Natural Yogurt (500g)","Plain_Yogurt","Tesco Creamfields Low Fat Natural Yogurt","Tesco",0.45,NA,0.9,"500g","Kg",2019-01-17
"002233 Tesco Low Fat Greek Style Natural Yogurt (500g)","002233","Tesco Low Fat Greek Style Natural Yogurt (500g)","Plain_Yogurt","Tesco Low Fat Greek Style Natural Yogurt","Tesco",0.85,NA,1.7,"500g","Kg",2019-01-17
"154732 Tesco Healthy Living Natural Bio Yogurt (500g)","154732","Tesco Healthy Living Natural Bio Yogurt (500g)","Plain_Yogurt","Tesco Healthy Living Natural Bio Yogurt","Tesco",0.85,NA,1.7,"500g","Kg",2019-01-17
"002232 Tesco Natural Greek Style Yogurt (200g)","002232","Tesco Natural Greek Style Yogurt (200g)","Plain_Yogurt","Tesco Natural Greek Style Yogurt","Tesco",0.5,NA,2.5,"200g","Kg",2019-01-17
"126460 Tesco 0% Fat Greek Natural Yogurt (200g)","126460","Tesco 0% Fat Greek Natural Yogurt (200g)","Plain_Yogurt","Tesco 0% Fat Greek Natural Yogurt","Tesco",0.5,NA,2.5,"200g","Kg",2019-01-17
"NA Tesco 0% Fat Natural Yogurt (200g)",NA,"Tesco 0% Fat Natural Yogurt (200g)","Plain_Yogurt","Tesco 0% Fat Natural Yogurt","Tesco",0.5,NA,2.5,"200g","Kg",2019-01-17
"333667 Tesco Greek Style Natural Yogurt (4x100g)","333667","Tesco Greek Style Natural Yogurt (4x100g)","Plain_Yogurt","Tesco Greek Style Natural Yogurt","Tesco",1,NA,2.5,"4x100g","Kg",2019-01-17
"379623 Tesco 0% Fat Greek Style Yogurt (4x100g)","379623","Tesco 0% Fat Greek Style Yogurt (4x100g)","Plain_Yogurt","Tesco 0% Fat Greek Style Yogurt","Tesco",1,NA,2.5,"4x100g","Kg",2019-01-17
"267071 Tesco Finest 0% Fat Greek Yogurt (500g)","267071","Tesco Finest 0% Fat Greek Yogurt (500g)","Plain_Yogurt","Tesco Finest 0% Fat Greek Yogurt","Tesco",1.75,NA,3.5,"500g","Kg",2019-01-17
"518226 Benecol Greek Style Plain Yogurt (450g)","518226","Benecol Greek Style Plain Yogurt (450g)","Plain_Yogurt","Benecol Greek Style Plain Yogurt","Tesco",2,NA,4.44,"450g","Kg",2019-01-17
"541582 Tesco 0% Fat Natural Yogurt (4x100g)","541582","Tesco 0% Fat Natural Yogurt (4x100g)","Plain_Yogurt","Tesco 0% Fat Natural Yogurt","Tesco",1,NA,2.5,"4x100g","Kg",2019-01-17
"435353 Tesco High Protein Natural Yoghurt (450g)","435353","Tesco High Protein Natural Yoghurt (450g)","Plain_Yogurt","Tesco High Protein Natural Yoghurt","Tesco",1.25,NA,2.78,"450g","Kg",2019-01-17
"479729 ASDA Farm Stores Plums (400g)","479729","ASDA Farm Stores Plums (400g)","Plums","ASDA Farm Stores Plums","ASDA",0.95,NA,2.38,"400g","Kg",2019-01-17
"442210 ASDA Grower's Selection Plums (750g)","442210","ASDA Grower's Selection Plums (750g)","Plums","ASDA Grower's Selection Plums","ASDA",1.65,NA,2.2,"750g","Kg",2019-01-17
"470471 ASDA Grower's Selection Plums Ready to Eat (400g)","470471","ASDA Grower's Selection Plums Ready to Eat (400g)","Plums","ASDA Grower's Selection Plums Ready to Eat","ASDA",2.5,NA,4.38,"400g","Kg",2019-01-17
"419498 Iceland Farmer's Market Plums (750g)","419498","Iceland Farmer's Market Plums (750g)","Plums","Iceland Farmer's Market Plums","Iceland",1.5,NA,2,"750g","Kg",2019-01-17
"NA Plums (400g)",NA,"Plums (400g)","Plums","Plums","Lidl",0.79,NA,1.98,"400g","Kg",2019-01-17
"381328 Morrisons Ready to Eat Plums (6)","381328","Morrisons Ready to Eat Plums (6)","Plums","Morrisons Ready to Eat Plums","Morrisons",2.5,NA,0.417,"6","Each",2019-01-17
"290385 Morrisons Ripen at Home Plums (400g)","290385","Morrisons Ripen at Home Plums (400g)","Plums","Morrisons Ripen at Home Plums","Morrisons",1,NA,2.5,"400g","Kg",2019-01-17
"213793 Essential Waitrose Home Ripening Plums (750g)","213793","Essential Waitrose Home Ripening Plums (750g)","Plums","Essential Waitrose Home Ripening Plums","Ocado",1.8,NA,2.4,"750g","Kg",2019-01-17
"268843 Ocado Ripen at Home Plums (400g)","268843","Ocado Ripen at Home Plums (400g)","Plums","Ocado Ripen at Home Plums","Ocado",0.99,NA,2.48,"400g","Kg",2019-01-17
"432210 Waitrose Plums (4)","432210","Waitrose Plums (4)","Plums","Waitrose Plums","Ocado",2,NA,0.5,"4","Each",2019-01-17
"437443 Orchard World Ripe & Ready to Eat Plums (4)","437443","Orchard World Ripe & Ready to Eat Plums (4)","Plums","Orchard World Ripe & Ready to Eat Plums","Ocado",3.99,NA,0.998,"4","Each",2019-01-17
"435841 Sainsbury's Plums (1Kg)","435841","Sainsbury's Plums (1Kg)","Plums","Sainsbury's Plums","Sainsburys",2.25,NA,2.25,"1Kg","Kg",2019-01-17
"042583 Sainsbury's Home Ripening Plums (400g)","042583","Sainsbury's Home Ripening Plums (400g)","Plums","Sainsbury's Home Ripening Plums","Sainsburys",1,NA,2.5,"400g","Kg",2019-01-17
"094597 Sainsbury's Ripe & Ready Plums (5)","094597","Sainsbury's Ripe & Ready Plums (5)","Plums","Sainsbury's Ripe & Ready Plums","Sainsburys",2,NA,0.4,"5","Each",2019-01-17
"428034 Tesco Suntrail Farms Ripen at Home Plums (400g)","428034","Tesco Suntrail Farms Ripen at Home Plums (400g)","Plums","Tesco Suntrail Farms Ripen at Home Plums","Tesco",0.79,NA,1.98,"400g","Kg",2019-01-17
"327630 Tesco Supersweet Plums (325g)","327630","Tesco Supersweet Plums (325g)","Plums","Tesco Supersweet Plums","Tesco",3,NA,9.23,"325g","Kg",2019-01-17
"312093 Tesco Yellow Plums (300g)","312093","Tesco Yellow Plums (300g)","Plums","Tesco Yellow Plums","Tesco",2,NA,6.67,"300g","Kg",2019-01-17
"125472 Tesco Ripen at Home Plums (400g)","125472","Tesco Ripen at Home Plums (400g)","Plums","Tesco Ripen at Home Plums","Tesco",2.5,NA,6.25,"400g","Kg",2019-01-17
"085638 ASDA Beef Joint with Onion Gravy (500g)","085638","ASDA Beef Joint with Onion Gravy (500g)","Prepared_Beef","ASDA Beef Joint with Onion Gravy","ASDA",4,0.7,8,"500g","Kg",2019-01-17
"291877 ASDA Bourbon Beef Brisket (400g)","291877","ASDA Bourbon Beef Brisket (400g)","Prepared_Beef","ASDA Bourbon Beef Brisket","ASDA",4,NA,10,"400g","Kg",2019-01-17
"539260 ASDA Slow Cooked Beef Brisket in Stout Gravy (300g)","539260","ASDA Slow Cooked Beef Brisket in Stout Gravy (300g)","Prepared_Beef","ASDA Slow Cooked Beef Brisket in Stout Gravy","ASDA",3.25,1,10.8,"300g","Kg",2019-01-17
"497446 ASDA Oak Smoked Boneless Beef Ribs with Bourbon Sauce (370g)","497446","ASDA Oak Smoked Boneless Beef Ribs with Bourbon Sauce (370g)","Prepared_Beef","ASDA Oak Smoked Boneless Beef Ribs with Bourbon Sauce","ASDA",4,NA,10.8,"370g","Kg",2019-01-17
"381979 ASDA Ready to Eat Texas BBQ Steak Slices (150g)","381979","ASDA Ready to Eat Texas BBQ Steak Slices (150g)","Prepared_Beef","ASDA Ready to Eat Texas BBQ Steak Slices","ASDA",2.5,NA,13.3,"150g","Kg",2019-01-17
"513172 ASDA Butcher's Selection British Beef Roasting Joint with Salt & Pepper Rub by Weight (Approx 520g)","513172","ASDA Butcher's Selection British Beef Roasting Joint with Salt & Pepper Rub by Weight (Approx 520g)","Prepared_Beef","ASDA Butcher's Selection British Beef Roasting Joint with Salt & Pepper Rub by Weight","ASDA",5.91,NA,11.4,"Approx 520g","Kg",2019-01-17
"476107 ASDA Oak Smoked Beef Burnt Ends with Bourbon Sauce (330g)","476107","ASDA Oak Smoked Beef Burnt Ends with Bourbon Sauce (330g)","Prepared_Beef","ASDA Oak Smoked Beef Burnt Ends with Bourbon Sauce","ASDA",4,NA,12.1,"330g","Kg",2019-01-17
"522554 ASDA Low & Slow Oak Smoked Beef Brisket with BBQ Sauce (500g)","522554","ASDA Low & Slow Oak Smoked Beef Brisket with BBQ Sauce (500g)","Prepared_Beef","ASDA Low & Slow Oak Smoked Beef Brisket with BBQ Sauce","ASDA",4.5,NA,9,"500g","Kg",2019-01-17
"340919 Iceland Butcher's Market Peppered Beef Grillsteaks (4 per pack - 400g)","340919","Iceland Butcher's Market Peppered Beef Grillsteaks (4 per pack - 400g)","Prepared_Beef","Iceland Butcher's Market Peppered Beef Grillsteaks","Iceland",2,NA,5,"4 per pack - 400g","Kg",2019-01-17
"NA Iceland World Famous Braised Steak in a Rich Onion Gravy (350g)",NA,"Iceland World Famous Braised Steak in a Rich Onion Gravy (350g)","Prepared_Beef","Iceland World Famous Braised Steak in a Rich Onion Gravy","Iceland",2.5,NA,7.14,"350g","Kg",2019-01-17
"NA Iceland The Butchers Market British Beef Ranch Steaks with Peppercorn Sauce (2 per pack - 300g)",NA,"Iceland The Butchers Market British Beef Ranch Steaks with Peppercorn Sauce (2 per pack - 300g)","Prepared_Beef","Iceland The Butchers Market British Beef Ranch Steaks with Peppercorn Sauce","Iceland",4,NA,13.3,"2 per pack - 300g","Kg",2019-01-17
"NA Morrisons Market St Pastrami Style Brisket Joint (Approx 725g)",NA,"Morrisons Market St Pastrami Style Brisket Joint (Approx 725g)","Prepared_Beef","Morrisons Market St Pastrami Style Brisket Joint","Morrisons",7.25,NA,10,"Approx 725g","Kg",2019-01-17
"NA Morrisons Market St Salt & Pepper Rump Joint (Approx 725g)",NA,"Morrisons Market St Salt & Pepper Rump Joint (Approx 725g)","Prepared_Beef","Morrisons Market St Salt & Pepper Rump Joint","Morrisons",9.42,NA,13,"Approx 725g","Kg",2019-01-17
"530579 The Juicy Meat Co. Thin Sirloin Steaks Deep South Style (270g)","530579","The Juicy Meat Co. Thin Sirloin Steaks Deep South Style (270g)","Prepared_Beef","The Juicy Meat Co. Thin Sirloin Steaks Deep South Style","Ocado",5.19,1.23,19.2,"270g","Kg",2019-01-17
"529278 Waitrose Slow Cooked Salt Beef (440g)","529278","Waitrose Slow Cooked Salt Beef (440g)","Prepared_Beef","Waitrose Slow Cooked Salt Beef","Ocado",5,NA,11.4,"440g","Kg",2019-01-17
"432203 Waitrose Easy to Cook Beef Encroute with Blue Cheese (370g)","432203","Waitrose Easy to Cook Beef Encroute with Blue Cheese (370g)","Prepared_Beef","Waitrose Easy to Cook Beef Encroute with Blue Cheese","Ocado",4.19,NA,11.3,"370g","Kg",2019-01-17
"478399 TGI Friday's Bourbon BBQ Rack of Pork Ribs (450g)","478399","TGI Friday's Bourbon BBQ Rack of Pork Ribs (450g)","Prepared_Beef","TGI Friday's Bourbon BBQ Rack of Pork Ribs","Ocado",5.5,NA,8.13,"450g","Kg",2019-01-17
"542735 Waitrose Top Rump Joint with Horseradish Butter (530g)","542735","Waitrose Top Rump Joint with Horseradish Butter (530g)","Prepared_Beef","Waitrose Top Rump Joint with Horseradish Butter","Ocado",8.99,NA,17,"530g","Kg",2019-01-17
"NA Ocado Sirloin Steaks with Garlic Butter (2 per pack - 378g)",NA,"Ocado Sirloin Steaks with Garlic Butter (2 per pack - 378g)","Prepared_Beef","Ocado Sirloin Steaks with Garlic Butter","Ocado",7.59,NA,20.1,"2 per pack - 378g","Kg",2019-01-17
"537662 Seven Chinese Hoisin Slow Cooked Beef Lean Cuts (35g)","537662","Seven Chinese Hoisin Slow Cooked Beef Lean Cuts (35g)","Prepared_Beef","Seven Chinese Hoisin Slow Cooked Beef Lean Cuts","Ocado",2.29,NA,65.4,"35g","Kg",2019-01-17
"537664 Seven Mexican Fajita Slow Cooked Beef Lean Cuts (35g)","537664","Seven Mexican Fajita Slow Cooked Beef Lean Cuts (35g)","Prepared_Beef","Seven Mexican Fajita Slow Cooked Beef Lean Cuts","Ocado",2.29,NA,65.4,"35g","Kg",2019-01-17
"542731 The Juicy Meat Co. 5% Fat Beef Mince with Sofrito (804g)","542731","The Juicy Meat Co. 5% Fat Beef Mince with Sofrito (804g)","Prepared_Beef","The Juicy Meat Co. 5% Fat Beef Mince with Sofrito","Ocado",6.49,NA,5.37,"804g","Kg",2019-01-17
"376662 Gilbert's Kosher Salt Beef Brisket (Approx 1.6Kg)","376662","Gilbert's Kosher Salt Beef Brisket (Approx 1.6Kg)","Prepared_Beef","Gilbert's Kosher Salt Beef Brisket","Ocado",25.52,NA,16,"Approx 1.6Kg","Kg",2019-01-17
"481766 Sainsbury's Just Cook Beef Steaks with Garlic Butter (2 per pack - 330g)","481766","Sainsbury's Just Cook Beef Steaks with Garlic Butter (2 per pack - 330g)","Prepared_Beef","Sainsbury's Just Cook Beef Steaks with Garlic Butter","Sainsburys",4,NA,12.1,"2 per pack - 330g","Kg",2019-01-17
"477791 Sainsbury's Just Cook Beef Steak with Peppercorns (370g)","477791","Sainsbury's Just Cook Beef Steak with Peppercorns (370g)","Prepared_Beef","Sainsbury's Just Cook Beef Steak with Peppercorns","Sainsburys",4,NA,10.8,"370g","Kg",2019-01-17
"525305 Sainsbury's Just Cook Small Beef Topside Joint with Rich Beef Gravy (370g)","525305","Sainsbury's Just Cook Small Beef Topside Joint with Rich Beef Gravy (370g)","Prepared_Beef","Sainsbury's Just Cook Small Beef Topside Joint with Rich Beef Gravy","Sainsburys",5,NA,13.5,"370g","Kg",2019-01-17
"522507 Sainsbury's 21 Day Matured British Beef Rump Steak with Garlic & Herb Butter (245g)","522507","Sainsbury's 21 Day Matured British Beef Rump Steak with Garlic & Herb Butter (245g)","Prepared_Beef","Sainsbury's 21 Day Matured British Beef Rump Steak with Garlic & Herb Butter","Sainsburys",3.5,NA,14.3,"245g","Kg",2019-01-17
"457155 Sainsbury's Boneless Beef Ribs with BBQ Sauce (515g)","457155","Sainsbury's Boneless Beef Ribs with BBQ Sauce (515g)","Prepared_Beef","Sainsbury's Boneless Beef Ribs with BBQ Sauce","Sainsburys",5,NA,9.71,"515g","Kg",2019-01-17
"527058 Sainsbury's 21 Day Matured British Beef Topside Joint with Salt & Pepper Seasoning (375g)","527058","Sainsbury's 21 Day Matured British Beef Topside Joint with Salt & Pepper Seasoning (375g)","Prepared_Beef","Sainsbury's 21 Day Matured British Beef Topside Joint with Salt & Pepper Seasoning","Sainsburys",4,NA,10.7,"375g","Kg",2019-01-17
"457167 Sainsbury's Slow Cook Beef Brisket with BBQ Sauce (438g)","457167","Sainsbury's Slow Cook Beef Brisket with BBQ Sauce (438g)","Prepared_Beef","Sainsbury's Slow Cook Beef Brisket with BBQ Sauce","Sainsburys",5,NA,11.4,"438g","Kg",2019-01-17
"542542 Sainsbury's Butcher's Choice British Beef Grill Steaks (2 per pack - 340g)","542542","Sainsbury's Butcher's Choice British Beef Grill Steaks (2 per pack - 340g)","Prepared_Beef","Sainsbury's Butcher's Choice British Beef Grill Steaks","Sainsburys",1.75,NA,5.15,"2 per pack - 340g","Kg",2019-01-17
"540927 Sainsbury's Slow Cooked British Beef Brisket with Rich Meaty Gravy (470g)","540927","Sainsbury's Slow Cooked British Beef Brisket with Rich Meaty Gravy (470g)","Prepared_Beef","Sainsbury's Slow Cooked British Beef Brisket with Rich Meaty Gravy","Sainsburys",6,NA,12.8,"470g","Kg",2019-01-17
"506353 Tesco Roast Beef Pieces (180g)","506353","Tesco Roast Beef Pieces (180g)","Prepared_Beef","Tesco Roast Beef Pieces","Tesco",3,1.39,16.7,"180g","Kg",2019-01-17
"506349 Tesco Fajita Beef Pieces (180g)","506349","Tesco Fajita Beef Pieces (180g)","Prepared_Beef","Tesco Fajita Beef Pieces","Tesco",3,1.39,16.7,"180g","Kg",2019-01-17
"408737 Tesco Slow Cooked Beef Joint with Gravy (380g)","408737","Tesco Slow Cooked Beef Joint with Gravy (380g)","Prepared_Beef","Tesco Slow Cooked Beef Joint with Gravy","Tesco",3.5,NA,9.21,"380g","Kg",2019-01-17
"461346 Denny Fire & Smoke Beef Burnt Ends (Approx 100g)","461346","Denny Fire & Smoke Beef Burnt Ends (Approx 100g)","Prepared_Beef","Denny Fire & Smoke Beef Burnt Ends","Tesco",1.5,NA,15,"Approx 100g","Kg",2019-01-17
"506354 Tesco Salt & Pepper Pulled Beef (180g)","506354","Tesco Salt & Pepper Pulled Beef (180g)","Prepared_Beef","Tesco Salt & Pepper Pulled Beef","Tesco",3,1.39,16.7,"180g","Kg",2019-01-17
"378146 Tesco Pork Loin Steaks with Garlic Crumb & Garlic Butter (400g)","378146","Tesco Pork Loin Steaks with Garlic Crumb & Garlic Butter (400g)","Prepared_Beef","Tesco Pork Loin Steaks with Garlic Crumb & Garlic Butter","Tesco",3.75,0.75,9.38,"400g","Kg",2019-01-17
"436619 Tesco Finest Ranch Steaks with Garlic & Herb Butter (2 per pack - 306g)","436619","Tesco Finest Ranch Steaks with Garlic & Herb Butter (2 per pack - 306g)","Prepared_Beef","Tesco Finest Ranch Steaks with Garlic & Herb Butter","Tesco",6,NA,19.6,"2 per pack - 306g","Kg",2019-01-17
"349311 Tesco Finest Rump Joint with Cornish Sea Salt & Pepper (500g)","349311","Tesco Finest Rump Joint with Cornish Sea Salt & Pepper (500g)","Prepared_Beef","Tesco Finest Rump Joint with Cornish Sea Salt & Pepper","Tesco",7.35,NA,14.7,"500g","Kg",2019-01-17
"NA Tesco Beef En Croute (2 per pack - 340g)",NA,"Tesco Beef En Croute (2 per pack - 340g)","Prepared_Beef","Tesco Beef En Croute","Tesco",5,NA,14.7,"2 per pack - 340g","Kg",2019-01-17
"024278 ASDA Grower's Selection Raspberries (150g)","024278","ASDA Grower's Selection Raspberries (150g)","Raspberries","ASDA Grower's Selection Raspberries","ASDA",1.89,NA,12.6,"150g","Kg",2019-01-17
"376676 Iceland Farmer's Market Raspberries (150g)","376676","Iceland Farmer's Market Raspberries (150g)","Raspberries","Iceland Farmer's Market Raspberries","Iceland",2,NA,13.33,"150g","Kg",2019-01-17
"477751 Raspberries (150g)","477751","Raspberries (150g)","Raspberries","Raspberries","Lidl",1.65,NA,11,"150g","Kg",2019-01-17
"467112 Premium Raspberries (125g)","467112","Premium Raspberries (125g)","Raspberries","Premium Raspberries","Lidl",1.99,NA,15.92,"125g","Kg",2019-01-17
"185439 Morrisons Raspberries (150g)","185439","Morrisons Raspberries (150g)","Raspberries","Morrisons Raspberries","Morrisons",2,NA,13.33,"150g","Kg",2019-01-17
"NA Ocado Raspberries (150g)",NA,"Ocado Raspberries (150g)","Raspberries","Ocado Raspberries","Ocado",1.99,NA,13.27,"150g","Kg",2019-01-17
"524731 Waitrose Raspberries (225g)","524731","Waitrose Raspberries (225g)","Raspberries","Waitrose Raspberries","Ocado",3.5,NA,15.56,"225g","Kg",2019-01-17
"524732 Waitrose Raspberries (150g)","524732","Waitrose Raspberries (150g)","Raspberries","Waitrose Raspberries","Ocado",2.5,NA,16.67,"150g","Kg",2019-01-17
"NA BerryWorld Raspberries (150g)",NA,"BerryWorld Raspberries (150g)","Raspberries","BerryWorld Raspberries","Ocado",3,16.67,20,"150g","Kg",2019-01-17
"026224 Waitrose Duchy Organic Raspberries (125g)","026224","Waitrose Duchy Organic Raspberries (125g)","Raspberries","Waitrose Duchy Organic Raspberries","Ocado",3,NA,24,"125g","Kg",2019-01-17
"371451 Waitrose 1 Speciality Raspberries (150g)","371451","Waitrose 1 Speciality Raspberries (150g)","Raspberries","Waitrose 1 Speciality Raspberries","Ocado",3,NA,20,"150g","Kg",2019-01-17
"089266 Sainsbury's Raspberries (150g)","089266","Sainsbury's Raspberries (150g)","Raspberries","Sainsbury's Raspberries","Sainsburys",2,NA,13.33,"150g","Kg",2019-01-17
"050193 Sainsbury's Organic Raspberries (125g)","050193","Sainsbury's Organic Raspberries (125g)","Raspberries","Sainsbury's Organic Raspberries","Sainsburys",2.5,NA,20,"125g","Kg",2019-01-17
"078778 Sainsbury's Taste the Difference British Raspberries (150g)","078778","Sainsbury's Taste the Difference British Raspberries (150g)","Raspberries","Sainsbury's Taste the Difference British Raspberries","Sainsburys",2.5,NA,16.67,"150g","Kg",2019-01-17
"023931 Tesco Raspberries (150g)","023931","Tesco Raspberries (150g)","Raspberries","Tesco Raspberries","Tesco",2,NA,13.33,"150g","Kg",2019-01-17
"203995 Tesco Raspberries (250g)","203995","Tesco Raspberries (250g)","Raspberries","Tesco Raspberries","Tesco",3,NA,12,"250g","Kg",2019-01-17
"090914 ASDA Grower's Selection Strawberries (400g)","090914","ASDA Grower's Selection Strawberries (400g)","Strawberries","ASDA Grower's Selection Strawberries","ASDA",2.99,NA,6.25,"400g","Kg",2019-01-17
"322750 ASDA Grower's Selection Strawberries (227g)","322750","ASDA Grower's Selection Strawberries (227g)","Strawberries","ASDA Grower's Selection Strawberries","ASDA",1.89,NA,6.56,"227g","Kg",2019-01-17
"469167 Oaklands Strawberries (400g)","469167","Oaklands Strawberries (400g)","Strawberries","Oaklands Strawberries","Lidl",2.39,NA,5.98,"400g","Kg",2019-01-17
"NA Morrisons Strawberries (227g)",NA,"Morrisons Strawberries (227g)","Strawberries","Morrisons Strawberries","Morrisons",2,6.61,8.81,"227g","Kg",2019-01-17
"521118 Morrisons Wonky Strawberries (227g)","521118","Morrisons Wonky Strawberries (227g)","Strawberries","Morrisons Wonky Strawberries","Morrisons",1,NA,4.41,"227g","Kg",2019-01-17
"172510 Morrisons Strawberries (400g)","172510","Morrisons Strawberries (400g)","Strawberries","Morrisons Strawberries","Morrisons",2.94,NA,7.35,"400g","Kg",2019-01-17
"378960 Ocado Strawberries (300g)","378960","Ocado Strawberries (300g)","Strawberries","Ocado Strawberries","Ocado",1.99,NA,6.63,"300g","Kg",2019-01-17
"542282 Waitrose Strawberries (275g)","542282","Waitrose Strawberries (275g)","Strawberries","Waitrose Strawberries","Ocado",3,NA,10.91,"275g","Kg",2019-01-17
"167074 Waitrose Duchy Organic Strawberries (225g)","167074","Waitrose Duchy Organic Strawberries (225g)","Strawberries","Waitrose Duchy Organic Strawberries","Ocado",3.2,NA,14.22,"225g","Kg",2019-01-17
"NA BerryWorld Strawberries (250g)",NA,"BerryWorld Strawberries (250g)","Strawberries","BerryWorld Strawberries","Ocado",3,10,12,"250g","Kg",2019-01-17
"161296 Sainsbury's Strawberries (227g)","161296","Sainsbury's Strawberries (227g)","Strawberries","Sainsbury's Strawberries","Sainsburys",1.8,NA,7.93,"227g","Kg",2019-01-17
"050197 Sainsbury's Organic British Strawberries (300g)","050197","Sainsbury's Organic British Strawberries (300g)","Strawberries","Sainsbury's Organic British Strawberries","Sainsburys",3,NA,10,"300g","Kg",2019-01-17
"209892 Sainsbury's Taste the Difference Strawberries (300g)","209892","Sainsbury's Taste the Difference Strawberries (300g)","Strawberries","Sainsbury's Taste the Difference Strawberries","Sainsburys",3,NA,10,"300g","Kg",2019-01-17
"023932 Tesco Strawberries (227g)","023932","Tesco Strawberries (227g)","Strawberries","Tesco Strawberries","Tesco",2,NA,8.81,"227g","Kg",2019-01-17
"479800 ASDA Farm Stores Salad Tomatoes (6)","479800","ASDA Farm Stores Salad Tomatoes (6)","Tomatoes","ASDA Farm Stores Salad Tomatoes","ASDA",0.67,NA,0.112,"6","Each",2019-01-17
"027418 ASDA Grower's Selection Salad Tomatoes (750g)","027418","ASDA Grower's Selection Salad Tomatoes (750g)","Tomatoes","ASDA Grower's Selection Salad Tomatoes","ASDA",1.15,NA,1.53,"750g","Kg",2019-01-17
"475877 ASDA Farm Stores Cherry Tomatoes (250g)","475877","ASDA Farm Stores Cherry Tomatoes (250g)","Tomatoes","ASDA Farm Stores Cherry Tomatoes","ASDA",0.54,NA,2.16,"250g","Kg",2019-01-17
"479807 ASDA Grower's Selection Cherry Tomatoes (325g)","479807","ASDA Grower's Selection Cherry Tomatoes (325g)","Tomatoes","ASDA Grower's Selection Cherry Tomatoes","ASDA",0.75,NA,2.31,"325g","Kg",2019-01-17
"413436 ASDA Grower's Selection Baby Plum Tomatoes (325g)","413436","ASDA Grower's Selection Baby Plum Tomatoes (325g)","Tomatoes","ASDA Grower's Selection Baby Plum Tomatoes","ASDA",1,NA,3.08,"325g","Kg",2019-01-17
"050751 ASDA Extra Special Sweet Aromatico Cherry Tomatoes on the Vine (220g)","050751","ASDA Extra Special Sweet Aromatico Cherry Tomatoes on the Vine (220g)","Tomatoes","ASDA Extra Special Sweet Aromatico Cherry Tomatoes on the Vine","ASDA",1.35,5.68,6.14,"220g","Kg",2019-01-17
"479790 ASDA Beef Tomato","479790","ASDA Beef Tomato","Tomatoes","ASDA Beef Tomato","ASDA",0.5,NA,0.5,"1","Each",2019-01-17
