"UID","Product_ID","Full_Name","Category","Item","Retailer","Shelf_Price","Offer_Price_per_unit","Price_per_unit","Size","Unit","Date"
"293101 Brookfield Farm Veal Diced (400g)","293101","Brookfield Farm Veal Diced (400g)","Diced_Beef","Brookfield Farm Veal Diced","Ocado",5.6,NA,14,"400g","Kg",2019-01-17
"321386 Haloodies Diced Beef Halal (454g)","321386","Haloodies Diced Beef Halal (454g)","Diced_Beef","Haloodies Diced Beef Halal","Ocado",4.99,NA,10.99,"454g","Kg",2019-01-17
"215656 Daylesford Organic Diced Beef Aberdeen Angus (500g)","215656","Daylesford Organic Diced Beef Aberdeen Angus (500g)","Diced_Beef","Daylesford Organic Diced Beef Aberdeen Angus","Ocado",7.99,NA,15.98,"500g","Kg",2019-01-17
"NA Daylesford Organic Beef Strips (400g)",NA,"Daylesford Organic Beef Strips (400g)","Diced_Beef","Daylesford Organic Beef Strips","Ocado",7.99,NA,19.98,"400g","Kg",2019-01-17
"542718 The Juicy Meat Co. Flat Iron Steak Stir Fry (280g)","542718","The Juicy Meat Co. Flat Iron Steak Stir Fry (280g)","Diced_Beef","The Juicy Meat Co. Flat Iron Steak Stir Fry","Ocado",4.5,NA,16.07,"280g","Kg",2019-01-17
"493135 Sainsbury's Diced Beef Shin (400g)","493135","Sainsbury's Diced Beef Shin (400g)","Diced_Beef","Sainsbury's Diced Beef Shin","Sainsburys",2.85,NA,7.13,"400g","Kg",2019-01-17
"526200 Sainsbury's Extra Lean Diced Beef (600g)","526200","Sainsbury's Extra Lean Diced Beef (600g)","Diced_Beef","Sainsbury's Extra Lean Diced Beef","Sainsburys",4.8,NA,8,"600g","Kg",2019-01-17
"526199 Sainsbury's Extra Lean Diced Beef (400g)","526199","Sainsbury's Extra Lean Diced Beef (400g)","Diced_Beef","Sainsbury's Extra Lean Diced Beef","Sainsburys",3.7,NA,9.25,"400g","Kg",2019-01-17
"526196 Sainsbury's Organic Diced Beef (400g)","526196","Sainsbury's Organic Diced Beef (400g)","Diced_Beef","Sainsbury's Organic Diced Beef","Sainsburys",4.5,NA,11.25,"400g","Kg",2019-01-17
"526201 Sainsbury's Taste the Difference Lean Diced Beef (400g)","526201","Sainsbury's Taste the Difference Lean Diced Beef (400g)","Diced_Beef","Sainsbury's Taste the Difference Lean Diced Beef","Sainsburys",4.5,NA,11.25,"400g","Kg",2019-01-17
"487280 Sainsbury's Taste the Difference Diced Veal (450g)","487280","Sainsbury's Taste the Difference Diced Veal (450g)","Diced_Beef","Sainsbury's Taste the Difference Diced Veal","Sainsburys",7.5,NA,16.67,"450g","Kg",2019-01-17
"428249 Tesco Boswell Farms Diced Beef (400g)","428249","Tesco Boswell Farms Diced Beef (400g)","Diced_Beef","Tesco Boswell Farms Diced Beef","Tesco",2.59,NA,6.48,"400g","Kg",2019-01-17
"122675 Tesco Diced Beef (400g)","122675","Tesco Diced Beef (400g)","Diced_Beef","Tesco Diced Beef","Tesco",3.7,8.33,9.25,"400g","Kg",2019-01-17
"301622 Tesco Diced Beef (250g)","301622","Tesco Diced Beef (250g)","Diced_Beef","Tesco Diced Beef","Tesco",2,NA,8,"250g","Kg",2019-01-17
"336549 Tesco Diced Beef (600g)","336549","Tesco Diced Beef (600g)","Diced_Beef","Tesco Diced Beef","Tesco",5,NA,8.33,"600g","Kg",2019-01-17
"298935 Tesco Organic Diced Beef (400g)","298935","Tesco Organic Diced Beef (400g)","Diced_Beef","Tesco Organic Diced Beef","Tesco",4,NA,10,"400g","Kg",2019-01-17
"343903 Tesco Finest Diced Beef (400g)","343903","Tesco Finest Diced Beef (400g)","Diced_Beef","Tesco Finest Diced Beef","Tesco",5,NA,12.5,"400g","Kg",2019-01-17
"053025 Tesco Beef Stir Fry Strips (357g)","053025","Tesco Beef Stir Fry Strips (357g)","Diced_Beef","Tesco Beef Stir Fry Strips","Tesco",3.8,NA,10.64,"357g","Kg",2019-01-17
"426824 Tesco Deli Counter British Beef Stewing (250g)","426824","Tesco Deli Counter British Beef Stewing (250g)","Diced_Beef","Tesco Deli Counter British Beef Stewing","Tesco",2,NA,8,"250g","Kg",2019-01-17
"231028 Tesco Counter Beef Skirt (Approx 300g)","231028","Tesco Counter Beef Skirt (Approx 300g)","Diced_Beef","Tesco Counter Beef Skirt","Tesco",2.85,NA,9.5,"Approx 300g","Kg",2019-01-17
"042575 ASDA Grower's Selection Passion Fruit (3)","042575","ASDA Grower's Selection Passion Fruit (3)","Exotic_Fruit","ASDA Grower's Selection Passion Fruit","ASDA",1,NA,0.333,"3","Each",2019-01-17
"257756 ASDA Grower's Selection Pomegranates (3)","257756","ASDA Grower's Selection Pomegranates (3)","Exotic_Fruit","ASDA Grower's Selection Pomegranates","ASDA",1,NA,0.333,"3","Each",2019-01-17
"042570 ASDA Grower's Selection Coconut","042570","ASDA Grower's Selection Coconut","Exotic_Fruit","ASDA Grower's Selection Coconut","ASDA",0.8,NA,0.5,"1","Each",2019-01-17
"108488 ASDA Grower's Selection Giant Pomegranate","108488","ASDA Grower's Selection Giant Pomegranate","Exotic_Fruit","ASDA Grower's Selection Giant Pomegranate","ASDA",1,NA,1,"1","Each",2019-01-17
"515222 ASDA Pomegranate Seeds (200g)","515222","ASDA Pomegranate Seeds (200g)","Exotic_Fruit","ASDA Pomegranate Seeds","ASDA",1.75,NA,8.75,"200g","Kg",2019-01-17
"239857 ASDA Grower's Selection Papaya (2)","239857","ASDA Grower's Selection Papaya (2)","Exotic_Fruit","ASDA Grower's Selection Papaya","ASDA",2,NA,1,"2","Each",2019-01-17
"166093 ASDA Grower's Selection Physalis (100g)","166093","ASDA Grower's Selection Physalis (100g)","Exotic_Fruit","ASDA Grower's Selection Physalis","ASDA",1,NA,7.9,"100g","Kg",2019-01-17
"266990 ASDA Grower's Selection Pomegranate Seeds (80g)","266990","ASDA Grower's Selection Pomegranate Seeds (80g)","Exotic_Fruit","ASDA Grower's Selection Pomegranate Seeds","ASDA",1,NA,12.5,"80g","Kg",2019-01-17
"042572 ASDA Grower's Selection Figs (140g)","042572","ASDA Grower's Selection Figs (140g)","Exotic_Fruit","ASDA Grower's Selection Figs","ASDA",2,NA,14.29,"140g","Kg",2019-01-17
"433032 ASDA Grower's Selection Sharon Fruit (6)","433032","ASDA Grower's Selection Sharon Fruit (6)","Exotic_Fruit","ASDA Grower's Selection Sharon Fruit","ASDA",1.5,NA,0.25,"6","Each",2019-01-17
"242752 ASDA Grower's Selection Lychees (200g)","242752","ASDA Grower's Selection Lychees (200g)","Exotic_Fruit","ASDA Grower's Selection Lychees","ASDA",2,NA,5,"200g","Kg",2019-01-17
"150080 ASDA Smartprice Coconuts (3)","150080","ASDA Smartprice Coconuts (3)","Exotic_Fruit","ASDA Smartprice Coconuts","ASDA",1.65,NA,0.467,"3","Each",2019-01-17
"467293 Lidl Kaki Fruit","467293","Lidl Kaki Fruit","Exotic_Fruit","Lidl Kaki Fruit","Lidl",0.45,NA,0.45,"1","Each",2019-01-17
"467295 Lidl Large Pomegranate","467295","Lidl Large Pomegranate","Exotic_Fruit","Lidl Large Pomegranate","Lidl",1.39,NA,1.39,"1","Each",2019-01-17
"177440 Morrisons Papaya","177440","Morrisons Papaya","Exotic_Fruit","Morrisons Papaya","Morrisons",1.5,NA,1.5,"1","Each",2019-01-17
